0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,report_date,source_url
7,Consumer Services,318091,920,50,0,0,0,0,0,0,0,0,319061,35852,104,6,0,0,0,0,0,0,0,0,35962,-1677,0,0,0,0,0,0,0,0,0,0,-1677,-189,0,0,0,0,0,0,0,0,0,0,-189,-2918,0,0,0,0,0,0,0,0,0,0,-2918,-329,0,0,0,0,0,0,0,0,0,0,-329,304112,920,50,0,0,0,0,0,0,0,0,305082,34269,104,6,0,0,0,0,0,0,0,0,34379,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
8,Diversified,3850,193,0,0,0,0,0,0,0,0,0,4043,434,22,0,0,0,0,0,0,0,0,0,456,-70,0,0,0,0,0,0,0,0,0,0,-70,-8,0,0,0,0,0,0,0,0,0,0,-8,46,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,0,0,5,4036,193,0,0,0,0,0,0,0,0,0,4229,455,22,0,0,0,0,0,0,0,0,0,477,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
9,Fast Moving Consumer Goods,384785,92,285,0,0,0,0,0,0,0,0,385162,43369,10,32,0,0,0,0,0,0,0,0,43411,-1267,0,0,0,0,0,0,0,0,0,0,-1267,-143,0,0,0,0,0,0,0,0,0,0,-143,-2042,0,0,0,0,0,0,0,0,0,0,-2042,-230,0,0,0,0,0,0,0,0,0,0,-230,378825,92,285,0,0,0,0,0,0,0,0,379202,42688,10,32,0,0,0,0,0,0,0,0,42730,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
10,Financial Services,2322940,16675,14527,0,0,0,0,0,0,588,0,2354730,261816,1879,1637,0,0,0,0,0,0,66,0,265398,5003,157,200,0,0,0,0,0,0,21,0,5381,564,18,23,0,0,0,0,0,0,2,0,607,-2041,-961,985,0,0,0,0,0,0,11,0,-2006,-230,-108,111,0,0,0,0,0,0,1,0,-226,2348530,15588,15502,0,0,0,0,0,0,600,0,2380220,264647,1757,1747,0,0,0,0,0,0,68,0,268219,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
11,Forest Materials,3203,451,0,0,0,0,0,0,0,0,0,3654,361,51,0,0,0,0,0,0,0,0,0,412,17,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,2,-12,0,0,0,0,0,0,0,0,0,0,-12,-1,0,0,0,0,0,0,0,0,0,0,-1,3010,451,0,0,0,0,0,0,0,0,0,3461,339,51,0,0,0,0,0,0,0,0,0,390,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
12,Healthcare,485212,445,1300,0,0,0,0,0,0,0,0,486957,54688,50,147,0,0,0,0,0,0,0,0,54885,-365,10,0,0,0,0,0,0,0,0,0,-355,-41,1,0,0,0,0,0,0,0,0,0,-40,-2526,0,0,0,0,0,0,0,0,0,0,-2526,-285,0,0,0,0,0,0,0,0,0,0,-285,482277,445,1300,0,0,0,0,0,0,0,0,484022,54346,50,146,0,0,0,0,0,0,0,0,54542,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
13,Information Technology,515320,0,0,0,0,0,0,0,0,0,0,515320,58081,0,0,0,0,0,0,0,0,0,0,58081,-267,0,0,0,0,0,0,0,0,0,0,-267,-30,0,0,0,0,0,0,0,0,0,0,-30,-4873,0,275,0,0,0,0,0,0,0,0,-4598,-549,0,31,0,0,0,0,0,0,0,0,-518,516924,0,275,0,0,0,0,0,0,0,0,517199,58250,0,31,0,0,0,0,0,0,0,0,58281,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
14,"Media, Entertainment & Publication",12311,0,0,0,0,0,0,0,0,0,0,12311,1388,0,0,0,0,0,0,0,0,0,0,1388,-133,0,0,0,0,0,0,0,0,0,0,-133,-15,0,0,0,0,0,0,0,0,0,0,-15,-148,0,0,0,0,0,0,0,0,0,0,-148,-17,0,0,0,0,0,0,0,0,0,0,-17,11643,0,0,0,0,0,0,0,0,0,0,11643,1312,0,0,0,0,0,0,0,0,0,0,1312,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
15,Metals & Mining,236145,246,0,0,0,0,0,0,0,0,0,236391,26616,28,0,0,0,0,0,0,0,0,0,26644,1752,0,0,0,0,0,0,0,0,0,0,1752,197,0,0,0,0,0,0,0,0,0,0,197,-109,0,0,0,0,0,0,0,0,0,0,-109,-12,0,0,0,0,0,0,0,0,0,0,-12,233100,246,0,0,0,0,0,0,0,0,0,233346,26267,28,0,0,0,0,0,0,0,0,0,26295,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
16,"Oil, Gas & Consumable Fuels",540121,264,0,0,75,0,0,0,0,0,0,540460,60876,30,0,0,9,0,0,0,0,0,0,60915,8043,0,0,0,0,0,0,0,0,0,0,8043,907,0,0,0,0,0,0,0,0,0,0,907,2992,0,0,0,0,0,0,0,0,0,0,2992,337,0,0,0,0,0,0,0,0,0,0,337,552115,264,0,0,77,0,0,0,0,0,0,552456,62216,30,0,0,9,0,0,0,0,0,0,62255,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
17,Power,249823,3413,0,0,6631,0,0,0,0,0,0,259867,28157,385,0,0,747,0,0,0,0,0,0,29289,-138,0,0,0,-4,0,0,0,0,0,0,-142,-16,0,0,0,0,0,0,0,0,0,0,-16,-2512,0,0,0,28,0,0,0,0,0,0,-2484,-283,0,0,0,3,0,0,0,0,0,0,-280,238235,3413,0,0,6493,0,0,0,0,0,0,248141,26846,385,0,0,732,0,0,0,0,0,0,27963,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
18,Realty,138521,2563,971,0,27197,0,0,0,0,0,0,169252,15613,289,109,0,3065,0,0,0,0,0,0,19076,1,875,140,0,263,0,0,0,0,0,0,1279,0,99,16,0,30,0,0,0,0,0,0,145,236,-95,0,0,-117,0,0,0,0,0,0,24,27,-11,0,0,-13,0,0,0,0,0,0,3,138297,2468,971,0,25530,0,0,0,0,0,0,167266,15584,278,109,0,2877,0,0,0,0,0,0,18848,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
19,Services,174599,3603,1760,0,5486,0,0,0,0,0,0,185448,19679,406,198,0,618,0,0,0,0,0,0,20901,-21,-9,0,0,59,0,0,0,0,0,0,29,-2,-1,0,0,7,0,0,0,0,0,0,4,-673,46,0,0,10,0,0,0,0,0,0,-617,-76,5,0,0,1,0,0,0,0,0,0,-70,178761,3649,1760,0,5429,0,0,0,0,0,0,189599,20144,411,198,0,612,0,0,0,0,0,0,21365,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
20,Telecommunication,378887,122,8100,0,12096,0,0,0,0,0,0,399205,42704,14,913,0,1363,0,0,0,0,0,0,44994,2087,0,0,0,0,0,0,0,0,0,0,2087,235,0,0,0,0,0,0,0,0,0,0,235,9413,0,0,0,0,0,0,0,0,0,0,9413,1061,0,0,0,0,0,0,0,0,0,0,1061,400370,122,8100,0,12177,0,0,0,0,0,0,420769,45116,14,913,0,1372,0,0,0,0,0,0,47415,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
21,Textiles,22032,460,0,0,0,0,0,0,0,0,0,22492,2483,52,0,0,0,0,0,0,0,0,0,2535,-156,0,0,0,0,0,0,0,0,0,0,-156,-18,0,0,0,0,0,0,0,0,0,0,-18,-186,0,0,0,0,0,0,0,0,0,0,-186,-21,0,0,0,0,0,0,0,0,0,0,-21,21835,460,0,0,0,0,0,0,0,0,0,22295,2460,52,0,0,0,0,0,0,0,0,0,2512,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
22,Utilities,2194,72,0,0,0,0,0,0,0,0,0,2266,247,8,0,0,0,0,0,0,0,0,0,255,14,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,2148,72,0,0,0,0,0,0,0,0,0,2220,242,8,0,0,0,0,0,0,0,0,0,250,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
23,Sovereign,0,58080,1605,287362,0,0,0,0,0,0,0,347047,0,6546,181,32388,0,0,0,0,0,0,0,39115,0,-316,-246,10757,0,0,0,0,0,0,0,10195,0,-36,-28,1212,0,0,0,0,0,0,0,1148,0,-457,-66,4542,0,0,0,0,0,0,0,4019,0,-51,-7,512,0,0,0,0,0,0,0,454,0,57723,1540,291320,0,0,0,0,0,0,0,350583,0,6505,174,32828,0,0,0,0,0,0,0,39507,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
24,Others,51291,100712,139419,0,9639,8442,1382,334,0,2376,30,313625,5781,11351,15714,0,1086,951,156,38,0,268,3,35348,338,625,-642,0,1968,57,-228,0,0,3,-2,2119,38,70,-72,0,222,6,-26,0,0,0,0,238,1446,-852,2989,0,0,108,113,-2,0,-2,0,3800,163,-96,337,0,0,12,13,0,0,0,0,429,54323,101264,141063,0,9639,8813,1485,333,0,2560,30,319510,6121,11411,15896,0,1086,993,167,38,0,288,3,36003,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
,Grand Total,7376190,190683,168946,287362,61231,8442,1382,334,0,2964,30,8097564,831363,21492,19042,32388,6901,951,156,38,0,334,3,912668,10979,1359,-548,10757,2284,57,-228,0,0,24,-2,24682,1237,153,-62,1212,257,6,-26,0,0,3,0,2780,-6092,-2327,4183,4542,-79,108,113,-2,0,10,0,456,-686,-262,471,512,-9,12,13,0,0,1,0,52,7427750,189724,171774,291320,59456,8813,1485,333,0,3159,30,8153844,837005,21379,19357,32828,6700,993,167,38,0,356,3,918826,2025-NOV-15,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_NOV152025.html
,,"AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025",2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
